,TICKER,PRICE,CHG,PRICE_CHANGE,RATING,VOLUME,VOLUME*PRICE,MARKET CAP,P/E,EPS,NUMBER OF EMPLOYEES,SECTOR
0,AAPLApple Inc,173.17USD,−1.76%,−3.11USD,Buy,48.689M,8.431B,2.826TUSD,29.27,6.08USD,154K,Electronic Technology
1,"ABNBAirbnb, Inc.",174.52USD,2.95%,4.99USD,Strong Buy,4.936M,861.398M,110.89BUSD,—,−7.21USD,5.597K,Consumer Services
2,ADBEAdobe Inc.,500.89USD,−4.00%,−20.86USD,Sell,2.192M,1.098B,236.27BUSD,52.07,10.10USD,25.988K,Technology Services
3,"ADIAnalog Devices, Inc.",164.67USD,−2.10%,−3.54USD,Neutral,1.031M,169.697M,86.579BUSD,45.64,3.72USD,24.7K,Electronic Technology
4,"ADPAutomatic Data Processing, Inc.",205.50USD,−2.68%,−5.66USD,Sell,888.279K,182.541M,86.319BUSD,32.70,6.49USD,56K,Technology Services
5,"ADSKAutodesk, Inc.",242.09USD,−3.68%,−9.25USD,Strong Sell,991.36K,239.998M,53.253BUSD,42.38,6.00USD,11.5K,Technology Services
6,"AEPAmerican Electric Power Company, Inc.",87.82USD,−1.75%,−1.56USD,Sell,1.332M,116.939M,44.231BUSD,18.75,4.78USD,16.787K,Utilities
7,"ALGNAlign Technology, Inc.",541.70USD,−0.78%,−4.24USD,Neutral,476.304K,258.014M,42.715BUSD,56.31,9.78USD,—,Health Technology
8,"AMATApplied Materials, Inc.",142.32USD,−1.30%,−1.88USD,Neutral,3.748M,533.419M,126.379BUSD,22.48,6.48USD,27K,Producer Manufacturing
9,"AMDAdvanced Micro Devices, Inc.",127.55USD,−3.99%,−5.30USD,Buy,72.991M,9.31B,152.975BUSD,51.60,2.61USD,15.5K,Electronic Technology
10,AMGNAmgen Inc.,230.24USD,−2.93%,−6.95USD,Buy,2.148M,494.659M,129.686BUSD,24.44,9.76USD,24.3K,Health Technology
11,"AMZNAmazon.com, Inc.",3171.22USD,−1.63%,−52.58USD,Neutral,1.99M,6.312B,1.608TUSD,49.73,65.91USD,1.608M,Retail Trade
12,"ANSSANSYS, Inc.",336.31USD,−1.51%,−5.16USD,Sell,151.794K,51.05M,29.344BUSD,64.24,5.39USD,4.8K,Technology Services
13,ASMLASML Holding N.V. - New York Registry SharesDR,664.31USD,−2.36%,−16.06USD,Sell,560.442K,372.307M,271.416BUSD,—,16.95USD,—,Electronic Technology
14,"ATVIActivision Blizzard, Inc",81.42USD,−0.10%,−0.08USD,Buy,3.708M,301.88M,63.431BUSD,23.65,3.47USD,—,Consumer Durables
15,AVGOBroadcom Inc.,598.78USD,−2.05%,−12.56USD,Buy,1.123M,672.322M,247.221BUSD,40.75,15.70USD,20K,Electronic Technology
16,"BIDUBaidu, Inc.DR",166.23USD,−0.28%,−0.47USD,Buy,1.452M,241.437M,57.415BUSD,27.52,6.45USD,41K,Technology Services
17,BIIBBiogen Inc.,225.02USD,−0.79%,−1.79USD,Sell,659.994K,148.512M,33.054BUSD,21.82,10.43USD,9.61K,Health Technology
18,BKNGBooking Holdings Inc. Common Stock,2628.96USD,0.08%,1.98USD,Buy,226.512K,595.491M,107.954BUSD,286.76,9.29USD,20.3K,Consumer Services
19,"CDNSCadence Design Systems, Inc.",150.72USD,−2.38%,−3.68USD,Sell,628.525K,94.731M,41.771BUSD,62.22,2.53USD,8.8K,Technology Services
20,CCEGConstellation Energy Corporation,47.28USD,−0.07%,−0.04USD,Sell,1.215M,57.452M,—,—,—,—,Utilities
21,"CHTRCharter Communications, Inc.",607.82USD,−1.13%,−6.93USD,Sell,704.612K,428.277M,104.996BUSD,25.12,25.56USD,93.7K,Consumer Services
22,CMCSAComcast Corporation,48.97USD,−1.62%,−0.81USD,Strong Sell,10.038M,491.514M,221.97BUSD,16.37,3.09USD,189K,Consumer Services
23,COSTCostco Wholesale Corporation,519.77USD,−1.71%,−9.06USD,Buy,1.026M,533.254M,230.483BUSD,45.50,11.65USD,288K,Retail Trade
